"contrast","estimate","SE","df","t.ratio","p.value"
"control LIA - latrine LIA",176.625000000021,92.8659198225761,18.7353624424317,1.90193561144357,0.565784564076983
"control LIA - (control LIA-1931)",316.583333333343,106.180809330957,33.3239479251525,2.98154944691163,0.0879530190935996
"control LIA - (latrine LIA-1931)",433.333333333343,106.180809330957,33.3239479251524,4.08108900340625,0.0057409647441341
"control LIA - (control 1931-1962)",225.833333333344,125.634827887205,33.3239479251525,1.79753765043636,0.62596006049627
"control LIA - (latrine 1931-1962)",316.333333333344,125.634827887205,33.3239479251524,2.51787930666286,0.22300823836881
"control LIA - (control 1984-2024)",791.031141887599,97.5958700888436,33.6729393896254,8.10517024098977,5.42184347418484e-08
"control LIA - (latrine 1984-2024)",533.45000000001,97.3163192221567,33.3239479251523,5.48160888393481,0.000107599785479806
"latrine LIA - (control LIA-1931)",139.958333333322,106.180809330955,33.3239479251528,1.31811326561926,0.885473559110884
"latrine LIA - (latrine LIA-1931)",256.708333333322,106.180809330955,33.3239479251528,2.41765282211389,0.266109615719723
"latrine LIA - (control 1931-1962)",49.2083333333228,125.634827887204,33.3239479251528,0.39167748434775,0.999918428917668
"latrine LIA - (latrine 1931-1962)",139.708333333323,125.634827887204,33.3239479251527,1.11201914057425,0.94958780889018
"latrine LIA - (control 1984-2024)",614.406141887577,97.5958700888423,33.6729393896258,6.29541128459922,9.60573417962962e-06
"latrine LIA - (latrine 1984-2024)",356.824999999989,97.3163192221554,33.3239479251529,3.66665121381567,0.0171282906474356
"(control LIA-1931) - (latrine LIA-1931)",116.75,75.8247060198413,18.7353624424324,1.53973561030951,0.777596187199186
"(control LIA-1931) - (control 1931-1962)",-90.7499999999994,116.315248889439,33.3239479251528,-0.780207245967034,0.993079548112912
"(control LIA-1931) - (latrine 1931-1962)",-0.249999999999616,116.315248889439,33.3239479251526,-0.00214933125610425,1
"(control LIA-1931) - (control 1984-2024)",474.447808554255,85.2647700070954,33.7820429226645,5.56440612593892,8.11515175741517e-05
"(control LIA-1931) - (latrine 1984-2024)",216.866666666667,84.9446474647646,33.3239479251528,2.55303510155391,0.209138295466242
"(latrine LIA-1931) - (control 1931-1962)",-207.499999999999,116.315248889439,33.3239479251528,-1.78394494256926,0.634599358423853
"(latrine LIA-1931) - (latrine 1931-1962)",-116.999999999999,116.315248889439,33.3239479251526,-1.00588702785833,0.970303411852598
"(latrine LIA-1931) - (control 1984-2024)",357.697808554255,85.2647700070954,33.7820429226644,4.19514189183281,0.00413582547517877
"(latrine LIA-1931) - (latrine 1984-2024)",100.116666666667,84.9446474647646,33.3239479251526,1.17861065593563,0.932473067837698
"(control 1931-1962) - (latrine 1931-1962)",90.4999999999998,107.232327616212,18.7353624424324,0.843961909732127,0.987756779892884
"(control 1931-1962) - (control 1984-2024)",565.197808554254,108.534910109299,33.6058085453079,5.20752086112273,0.000233732230591865
"(control 1931-1962) - (latrine 1984-2024)",307.616666666666,108.283603749524,33.3239479251528,2.840842528461,0.118763332452334
"(latrine 1931-1962) - (control 1984-2024)",474.697808554255,108.534910109299,33.6058085453078,4.37368776623315,0.00253927332699522
"(latrine 1931-1962) - (latrine 1984-2024)",217.116666666666,108.283603749524,33.3239479251526,2.0050742600781,0.493738671630973
"(control 1984-2024) - (latrine 1984-2024)",-257.581141887588,59.1956036986442,19.280080249356,-4.35135594188539,0.00652871117836018
