"","X","Vicuna.RAI","Shannon.Index","Chinchillula.sahamae","Lagidium.viscacia","Lycalopex.culpaeus","Vicugna.vicugna","Hippocamelus.antisensis","Muscisaxicola.cinereus","Leopardus.pajeros","Muscisaxicola.griseus","Leopardus.jacobitus","Geospizopsis.unicolor","Asthenes.humilis","Idiopsar.speculifer","Muscisaxicola.flavinucha","Cinclodes.albiventris","Puma.concolor","Muscisaxicola.juninensis","Buteo.polyosoma","Punomys.kofordi","Chloephaga.melanoptera","Attagis.gayi","Phalcoboenus.megalopterus","Geospizopsis.plebejus","Tinamotis.pentlandii","Spinus.atratus","Lepus.europaeus","Bubo.magellanicus","Falco.femoralis","Gallinago.andina","Muscisaxicola.frontalis","Muscisaxicola.albilora","Thinocorus.orbignyianus","Phyllotis.osilae","Muscisaxicola.maculirostris","Calomys.lepidus","Animal.Richness","latrine","Observed","Shannon","elevation","InvSimpson","Pielou","replicate","latrine_trt_month","month-collected"
"1","L56",1.01,0.7466491083,2,187,9,5,2,1,2,1,1,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"L56",748,5.2178059684907,5280,85.2976363897673,0.522503066062705,1,"L56_latrine_wet","wet"
"2","L56",1.01,0.7466491083,2,187,9,5,2,1,2,1,1,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"L56",672,5.15998270731079,5280,79.7090249392585,0.516712733605212,2,"L56_latrine_wet","wet"
"3","L57B",0.28,0.9533397817,0,307,43,2,2,11,2,3,1,3,10,1,0,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"L57B",618,3.42267525610659,5293,6.61951345810152,0.342741436966454,1,"L57B_latrine_dry","dry"
"4","L57B",0.28,0.9533397817,0,307,43,2,2,11,2,3,1,3,10,1,0,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"L57B",534,4.50463405398293,5293,29.4211424190906,0.45108712721592,2,"L57B_latrine_dry","dry"
"5","L57B",0.28,0.9533397817,0,307,43,2,2,11,2,3,1,3,10,1,0,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"L57B",528,5.0207830337037,5293,71.6580397352491,0.502773492342918,1,"L57B_latrine_wet","wet"
"6","L57B",0.28,0.9533397817,0,307,43,2,2,11,2,3,1,3,10,1,0,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"L57B",572,4.87585964751021,5293,55.174890130952,0.488261087303795,2,"L57B_latrine_wet","wet"
"7","L58",0.42,0.669504357,0,107,16,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"L58",649,4.30585254194969,5285,16.8933542162457,0.431181452274927,1,"L58_latrine_wet","wet"
"8","L58",0.42,0.669504357,0,107,16,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"L58",546,4.15767616410772,5285,15.4005085989233,0.416343297654377,2,"L58_latrine_wet","wet"
"9","L75",4.03,0.9961090222,0,0,14,39,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"L75",311,3.97977341058793,5394,22.0337926517596,0.398528389484847,1,"L75_latrine_wet","wet"
"10","L75",4.03,0.9961090222,0,0,14,39,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"L75",344,4.10379762173861,5394,26.3398060759442,0.410947983272652,2,"L75_latrine_wet","wet"
